location,latitude,longitude,population
Ogden,41.2278,-111.9682,578523
Baton Rouge,30.4418,-91.1310,570308
Akron,41.0798,-81.5219,565208
New Haven,41.3112,-72.9246,564830
Columbia,34.0376,-80.9037,560041
Mesa,33.4017,-111.7180,518012
Palm Bay,27.9550,-80.6627,507002
Provo,40.2457,-111.6457,500617
Worcester,42.2705,-71.8079,498328
Murrieta,33.5720,-117.1909,496046
Greenville,34.8353,-82.3647,484465
Wichita,37.6896,-97.3442,482249
Toledo,41.6639,-83.5822,482111
Staten Island,40.5834,-74.1496,476143
Des Moines,41.5725,-93.6105,473957
Long Beach,33.7981,-118.1675,462628
Port St. Lucie,27.2796,-80.3883,461152
Denton,33.2176,-97.1419,457177
Madison,43.0826,-89.3931,447245
Reno,39.5497,-119.8483,445020
Harrisburg,40.2752,-76.8843,442289
Little Rock,34.7256,-92.3576,439815
Oakland,37.7903,-122.2165,433031
Durham,35.9794,-78.9031,424700
Winston-Salem,36.1029,-80.2611,422269
Bonita Springs,26.3559,-81.7861,421291
Indio,33.7346,-116.2346,417059
Palm Coast,29.5392,-81.2460,417007
Chattanooga,35.0657,-85.2488,415501
Spokane,47.6671,-117.4330,412275
Syracuse,43.0409,-76.1438,404223
Lancaster,40.0421,-76.3012,401524
Arlington,32.6998,-97.1250,398854
Stockton,37.9765,-121.3109,397264
Poughkeepsie,41.6949,-73.9210,394760
Augusta,33.3645,-82.0708,390809
Boise,43.6007,-116.2312,389280
Oxnard,34.1963,-119.1815,387647
Scranton,41.4044,-75.6649,384250
Modesto,37.6374,-121.0028,383134
Kissimmee,28.3042,-81.4164,382720
Aurora,39.7087,-104.7273,379289
Youngstown,41.0993,-80.6463,378732
Fayetteville,36.0713,-94.1660,351246
Anaheim,33.8390,-117.8572,350365
Pensacola,30.4427,-87.1886,346921
Victorville,34.5277,-117.3536,346789
Lancaster,34.6935,-118.1753,343304
Greensboro,36.0956,-79.8269,343090
Corpus Christi,27.7260,-97.3755,342464
Fort Wayne,41.0886,-85.1437,334122
Santa Ana,33.7366,-117.8819,332318
Flint,43.0235,-83.6922,332190
Fayetteville,35.0846,-78.9776,327435
Jackson,32.3163,-90.2124,325350
Santa Rosa,38.4458,-122.7067,324634
Lansing,42.7142,-84.5601,324286
San Juan,18.4037,-66.0636,323279
Lexington,38.0423,-84.4587,323152
Ann Arbor,42.2755,-83.7312,322267
Henderson,36.0133,-115.0380,320189
Huntsville,34.6988,-86.6412,319249
Mobile,30.6783,-88.1162,315502
Fort Collins,40.5478,-105.0656,312666
Asheville,35.5704,-82.5536,312507
Santa Clarita,34.4175,-118.4964,312446
St. Paul,44.9477,-93.1040,308096
Antioch,37.9789,-121.7958,302419
Lakeland,28.0556,-81.9545,302284
Trenton,40.2236,-74.7641,290716
Lincoln,40.8090,-96.6788,289490
Springfield,37.1943,-93.2916,288090
Anchorage,61.1508,-149.1091,288000
Plano,33.0502,-96.7487,287677
Irvine,33.6772,-117.7738,287401
Davenport,41.5563,-90.6052,285362
Rockford,42.2597,-89.0641,282762
Newark,40.7245,-74.1725,282011
South Bend,41.6767,-86.2696,280498
Shreveport,32.4656,-93.7956,280062
Round Lake Beach,42.3790,-88.0811,279381
Savannah,32.0281,-81.1784,276295
Myrtle Beach,33.7096,-78.8843,275579
Chula Vista,32.6281,-117.0145,274492
Eugene,44.0563,-123.1173,273439
Canton,40.8075,-81.3677,269418
Lubbock,33.5659,-101.8878,267648
Reading,40.3400,-75.9267,267155
Winter Haven,28.0118,-81.7017,267069
Salem,44.9231,-123.0246,266804
St. Petersburg,27.7931,-82.6652,265351
Lafayette,30.2084,-92.0323,264357
Laredo,27.5629,-99.4875,262491
Jersey City,40.7161,-74.0682,262075
Concord,35.3933,-80.6366,261801
Columbus,32.5100,-84.8771,261445
Chandler,33.2826,-111.8516,261165
McKinney,33.2015,-96.6669,258277
Scottsdale,33.6872,-111.8651,258069
Killeen,31.0754,-97.7296,258009
Tallahassee,30.4551,-84.2526,257601
Peoria,40.7520,-89.6153,256286
Wilmington,34.2100,-77.8866,255616
Montgomery,32.3473,-86.2666,254634
Gilbert,33.3101,-111.7463,254114
Glendale,33.5791,-112.2311,252381
North Las Vegas,36.2880,-115.0901,251974
Chesapeake,36.6778,-76.3024,244835
Barnstable,41.6722,-70.3599,242847
Norfolk,36.8945,-76.2590,242742
Fremont,37.5265,-121.9852,241110
Kennewick,46.1978,-119.1732,240735
Garland,32.9100,-96.6305,239928
Irving,32.8584,-96.9702,239798
Visalia,36.3276,-119.3269,237386
Atlantic City,39.3797,-74.4527,237054
Paradise,36.0807,-115.1369,235087
Nashua,42.7491,-71.4910,233917
Arlington,38.8786,-77.1011,233464
Hialeah,25.8696,-80.3046,233339
York,39.9651,-76.7315,233184
Evansville,37.9881,-87.5341,230427
Avondale,33.3858,-112.3236,227289
Brownsville,25.9980,-97.4565,227239
Gulfport,30.4271,-89.0703,220987
Appleton,44.2779,-88.3891,220570
Bremerton,47.5436,-122.7122,218400
Hickory,35.7425,-81.3230,218323
Tacoma,47.2431,-122.4531,217827
San Bernardino,34.1417,-117.2946,215784
College Station,30.5852,-96.2960,215243
Kalamazoo,42.2749,-85.5882,215193
Thousand Oaks,34.1914,-118.8755,215029
Roanoke,37.2785,-79.9580,214674
Fontana,34.0968,-117.4599,214547
Moreno Valley,33.9244,-117.2045,213055
North Port,27.0577,-82.1975,209070
Fargo,46.8652,-96.8292,208675
Green Bay,44.5150,-87.9896,207557
Spring Valley,36.0987,-115.2619,207127
Amarillo,35.1988,-101.8311,205603
Portland,43.6773,-70.2715,203969
Santa Barbara,34.4285,-119.7202,202401
Gainesville,29.6804,-82.3458,202335
Olympia,47.0417,-122.8959,200915
Frisco,33.1555,-96.8215,200490
Yonkers,40.9466,-73.8674,200370
Norwich,41.5495,-72.0882,200289
Glendale,34.1818,-118.2468,199303
Huntington Beach,33.6960,-118.0025,199223
Deltona,28.9050,-81.2137,198361
Aurora,41.7637,-88.2901,197757
Tempe,33.3881,-111.9318,195805
Overland Park,38.8870,-94.6870,195494
Grand Prairie,32.6872,-97.0209,194543
Sunrise Manor,36.1785,-115.0490,193781
Waco,31.5598,-97.1881,192315
Salinas,36.6884,-121.6317,190972
Waterbury,41.5583,-73.0361,189614
Clarksville,36.5695,-87.3420,188746
Cedar Rapids,41.9665,-91.6782,188038
Sioux Falls,43.5397,-96.7320,187239
Huntington,38.4109,-82.4344,186034
Ontario,34.0393,-117.6064,185010
Hagerstown,39.6401,-77.7217,184755
Erie,42.1168,-80.0733,184484
Vancouver,45.6366,-122.5967,184463
Nampa,43.5845,-116.5631,184428
Spartanburg,34.9437,-81.9257,182701
Gastonia,35.2494,-81.1853,182581
Fort Lauderdale,26.1412,-80.1464,182437
Lorain,41.4409,-82.1840,180279
Murfreesboro,35.8492,-86.4119,179951
High Point,35.9907,-79.9938,179913
Newport News,37.1051,-76.5185,179225
Rancho Cucamonga,34.1248,-117.5666,177603
Hemet,33.7341,-116.9969,177253
Santa Cruz,36.9789,-122.0346,176428
Danbury,41.4016,-73.4710,176030
Peoria,33.7844,-112.2989,175961
Oceanside,33.2247,-117.3083,175742
Elk Grove,38.4160,-121.3842,174775
Pembroke Pines,26.0128,-80.3382,173591
Vallejo,38.1133,-122.2358,173256
Garden Grove,33.7787,-117.9601,171644
Enterprise,36.0164,-115.2208,171108
Medford,42.3372,-122.8537,170876
Cary,35.7820,-78.8191,170282
Marysville,48.0809,-122.1561,170009
Corona,33.8616,-117.5649,169868
Ocala,29.1780,-82.1511,169383
Fredericksburg,38.2992,-77.4872,168909
Gainesville,34.2903,-83.8301,167371
Manchester,42.9848,-71.4447,162877
Bayamón,18.3793,-66.1635,161034
Champaign,40.1144,-88.2735,159443
Alexandria,38.8185,-77.0861,159428
Hayward,37.6328,-122.0772,159203
Springfield,39.7710,-89.6538,158509
Lakewood,39.6977,-105.1168,157935
Lafayette,40.3990,-86.8594,157820
Frederick,39.4336,-77.4141,156787
Lake Charles,30.2012,-93.2122,156181
Odessa,31.8831,-102.3406,155998
Tuscaloosa,33.2348,-87.5267,155499
Warner Robins,32.5970,-83.6529,155140
Palmdale,34.5944,-118.1057,155079
Hollywood,26.0294,-80.1679,154817
Midland,32.0249,-102.1137,154793
Leesburg,28.7657,-81.8996,154574
Port Arthur,29.8554,-93.9264,154468
Muskegon,43.2281,-86.2563,153565
Macon,32.8065,-83.6974,153159
Kansas City,39.1234,-94.7443,152960
Sunnyvale,37.3836,-122.0256,152703
Pomona,34.0585,-117.7626,151691
Escondido,33.1347,-117.0722,151625
Pasadena,29.6583,-95.1499,151227
New Bedford,41.6697,-70.9428,149910
Fairfield,38.2592,-122.0324,148683
Naperville,41.7483,-88.1657,148449
Bellevue,47.5951,-122.1535,148164
Binghamton,42.1014,-75.9093,148145
Elkhart,41.6916,-85.9628,147567
Topeka,39.0346,-95.6955,147458
Joliet,41.5189,-88.1499,147344
Beaumont,30.0849,-94.1451,146091
Paterson,40.9147,-74.1624,145233
Merced,37.3057,-120.4778,145149
Pueblo,38.2705,-104.6112,143932
Tyler,32.3184,-95.3062,143796
Torrance,33.8346,-118.3417,143592
Yuma,32.5992,-114.5488,142847
Metairie,29.9977,-90.1780,142135
Surprise,33.6800,-112.4524,141664
Columbia,38.9478,-92.3256,141645
Athens,33.9508,-83.3689,141532
Roseville,38.7703,-121.3196,141500
Thornton,39.9197,-104.9438,141464
Miramar,25.9773,-80.3351,141191
Pasadena,34.1597,-118.1390,141029
Mesquite,32.7623,-96.5889,140937
Olathe,38.8832,-94.8198,140545
Santa Maria,34.9334,-120.4432,140545
Houma,29.5799,-90.7058,140469
Carrollton,32.9890,-96.8999,139248
Grand Junction,39.0876,-108.5673,139143
Charleston,38.3484,-81.6323,138706
Orange,33.8038,-117.8218,138669
Fullerton,33.8841,-117.9279,138632
Greeley,40.4151,-104.7706,137810
Carolina,18.4054,-65.9792,136771
Las Cruces,32.3265,-106.7892,136254
Panama City,30.1995,-85.6004,136133
Harlingen,26.1917,-97.6976,136037
West Valley City,40.6889,-112.0115,135248
Hampton,37.0551,-76.3630,134510
Warren,42.4934,-83.0270,133943
Mauldin,34.7849,-82.3005,133872
Bloomington,40.4757,-88.9703,133846
Coral Springs,26.2702,-80.2591,133759
Round Rock,30.5254,-97.6660,133372
Yakima,46.5923,-120.5496,133191
Sterling Heights,42.5809,-83.0305,132438
Kent,47.3887,-122.2129,132319
Burlington,36.0758,-79.4686,131043
Bellingham,48.7543,-122.4687,130641
Santa Clara,37.3645,-121.9680,130365
Racine,42.7274,-87.8135,130142
Greenville,35.5956,-77.3768,130118
Stamford,41.1035,-73.5583,129638
Elizabeth,40.6657,-74.1912,129216
Johnson City,36.3406,-82.3803,127571
Lynchburg,37.4003,-79.1909,126814
Simi Valley,34.2663,-118.7490,126589
Fort Smith,35.3493,-94.3695,125354
Kenosha,42.5864,-87.8765,124972
Norman,35.2335,-97.3471,124880
South Lyon,42.4614,-83.6526,124694
Boulder,40.0249,-105.2523,124345
Abilene,32.4543,-99.7384,123420
Lehigh Acres,26.6120,-81.6388,123378
Pearland,29.5585,-95.3215,122460
Berkeley,37.8723,-122.2760,121363
Richardson,32.9717,-96.7093,121323
Redding,40.5698,-122.3650,121313
Arvada,39.8321,-105.1511,121272
East Los Angeles,34.0326,-118.1691,121187
St. George,37.0770,-113.5770,120899
Billings,45.7891,-108.5524,120728
Yuba City,39.1357,-121.6381,120456
Rochester,44.0151,-92.4778,119942
Leominster,42.5209,-71.7717,119690
Kingsport,36.5224,-82.5453,119666
Duluth,46.7756,-92.1392,119476
Rock Hill,34.9416,-81.0244,119105
Gilroy,37.0047,-121.5855,118993
Cambridge,42.3759,-71.1185,118927
Sugar Land,29.5935,-95.6357,118488
Texas City,29.4128,-94.9658,118169
Iowa City,41.6559,-91.5303,118041
Saginaw,43.4199,-83.9501,117958
Chico,39.7575,-121.8152,117668
Dover,39.1610,-75.5203,117282
Clearwater,27.9789,-82.7622,116946
Coeur d'Alene,47.7041,-116.7935,116834
Seaside,36.6224,-121.8191,116720
Independence,39.0871,-94.3501,116672
West Jordan,40.6024,-112.0008,116480
Brandon,27.9367,-82.3000,115911
Bloomington,39.1637,-86.5257,115884
El Monte,34.0739,-118.0291,115487
North Charleston,32.9066,-80.0722,115382
Carlsbad,33.1247,-117.2837,115382
St. Cloud,45.5339,-94.1718,115028
Temecula,33.4928,-117.1315,114761
Clovis,36.8278,-119.6831,114584
Meridian,43.6112,-116.3968,114161
The Woodlands,30.1738,-95.5134,113819
Ponce,18.0120,-66.6198,113401
Westminster,39.8837,-105.0624,113166
Costa Mesa,33.6667,-117.9135,113003
Monroe,32.5183,-92.0774,112891
Utica,43.0961,-75.2260,112650
Pompano Beach,26.2428,-80.1312,112118
West Palm Beach,26.7468,-80.1316,111955
Waterloo,42.4920,-92.3522,111631
Everett,47.9525,-122.1669,111475
El Centro,32.7867,-115.5586,111425
Santa Fe,35.6619,-105.9819,111269
Downey,33.9379,-118.1312,111126
Spring Hill,28.4797,-82.5300,111076
Lowell,42.6389,-71.3217,110997
Centennial,39.5926,-104.8674,110937
Elgin,42.0385,-88.3229,110849
Richmond,37.9477,-122.3390,110567
Broken Arrow,36.0365,-95.7809,110198
Miami Gardens,25.9433,-80.2426,110001
Bend,44.0562,-121.3087,109802
Burlington,44.4877,-73.2314,109763
Jurupa Valley,34.0010,-117.4705,109527
Sandy Springs,33.9366,-84.3703,109452
Gresham,45.5023,-122.4413,109381
Lewisville,33.0452,-96.9823,109212
Hillsboro,45.5272,-122.9361,109128
San Buenaventura,34.2741,-119.2314,109106
Jacksonville,34.7288,-77.3941,108856
Pottstown,40.2507,-75.6444,108758
Inglewood,33.9566,-118.3444,108151
League City,29.4873,-95.1087,107536
Eau Claire,44.8199,-91.4949,107404
Turlock,37.5053,-120.8588,107317
Temple,31.1076,-97.3894,107258
Sioux City,42.4959,-96.3901,106455
Salisbury,38.3756,-75.5867,106447
Davie,26.0789,-80.2870,106306
Daly City,37.6862,-122.4685,106280
Highlands Ranch,39.5419,-104.9708,105631
Allen,33.1088,-96.6735,105623
West Covina,34.0555,-117.9112,105101
Sparks,39.5729,-119.7157,105006
Wichita Falls,33.9072,-98.5291,104683
San Mateo,37.5521,-122.3122,104430
Columbia,39.2004,-76.8590,103991
Norwalk,33.9069,-118.0829,103949
Rialto,34.1174,-117.3894,103526
Manteca,37.7927,-121.2264,103420
Arden-Arcade,38.6034,-121.3810,102864
El Cajon,32.8017,-116.9605,102708
Burbank,34.1879,-118.3235,102511
Longmont,40.1686,-105.1005,102474
Renton,47.4784,-122.1919,101751
Vista,33.1896,-117.2386,101638
Logan,41.7400,-111.8419,101616
Prescott Valley,34.5983,-112.3176,101539
Vacaville,38.3590,-121.9680,101444
Edinburg,26.3197,-98.1596,101170
Carmel,39.9650,-86.1460,101068
Spokane Valley,47.6626,-117.2346,101060
San Angelo,31.4424,-100.4506,101004
La Crosse,43.8240,-91.2268,100693
Idaho Falls,43.4872,-112.0362,100442
Holland,42.7677,-86.0985,100432
Charlottesville,38.0375,-78.4855,100416
Longview,32.5193,-94.7621,100330
Tracy,37.7269,-121.4522,100049
Boca Raton,26.3752,-80.1080,99805
Lafayette,39.9949,-105.0997,99645
Lee's Summit,38.9172,-94.3816,99357
Rio Rancho,35.2872,-106.6981,99178
South Fulton,33.6269,-84.5802,99155
Beaverton,45.4779,-122.8168,99037
Lawrence,38.9597,-95.2641,98648
Bismarck,46.8144,-100.7694,98345
Orem,40.2983,-111.6992,97828
Middletown,39.5032,-84.3660,97730
San Tan Valley,33.1879,-111.5472,96692
San Marcos,33.1350,-117.1744,96664
Sandy,40.5710,-111.8505,96380
Federal Way,47.3091,-122.3358,96289
Mandeville,30.3751,-90.0904,95968
Hesperia,34.3975,-117.3147,95750
Brockton,42.0821,-71.0242,95708
Compton,33.8930,-118.2275,95605
Riverview,27.8227,-82.3023,95338
Fishers,39.9589,-85.9661,95310
Sunrise,26.1547,-80.2997,95166
Bowling Green,36.9719,-86.4373,95135
Roswell,34.0391,-84.3513,94763
Menifee,33.6909,-117.1849,94756
Plantation,26.1260,-80.2617,94580
Dover,43.1887,-70.8845,94563
Quincy,42.2516,-71.0183,94470
Portsmouth,36.8468,-76.3540,94398
Chino,33.9836,-117.6654,94371
Lynn,42.4779,-70.9663,94299
Edmond,35.6689,-97.4159,94054
Hanford,36.3274,-119.6549,94028
Dearborn,42.3127,-83.2129,93932
Livonia,42.3972,-83.3733,93665
South Gate,33.9448,-118.1926,93444
Vineland,39.4653,-74.9981,93239
Florence,34.1781,-79.7877,93131
Portsmouth,43.0580,-70.7826,93069
Slidell,30.2881,-89.7826,93040
Lawton,34.6176,-98.4203,93025
Kirkland,47.6974,-122.2054,93010
Missoula,46.8750,-114.0214,92895
Auburn,32.6087,-85.4899,92777
Rapid City,44.0716,-103.2204,92664
Terre Haute,39.4654,-87.3763,92490
Suffolk,36.6953,-76.6398,92108
Blacksburg,37.2300,-80.4279,91888
Mount Pleasant,32.8538,-79.8204,91684
Carson,33.8374,-118.2559,91394
Conroe,30.3239,-95.4825,91079
Alafaya,28.5278,-81.1865,91068
Livermore,37.6862,-121.7608,90923
Westminster,33.7523,-117.9938,90643
Germantown,39.1755,-77.2643,90582
Santa Monica,34.0232,-118.4813,90401
New Braunfels,29.6994,-98.1148,90209
Fall River,41.7137,-71.1014,89541
Albany,31.5776,-84.1762,89217
Miami Beach,25.8171,-80.1396,88885
Norwalk,41.1144,-73.4215,88816
San Leandro,37.7071,-122.1601,88815
O'Fallon,38.7850,-90.7175,88673
Newton,42.3316,-71.2085,88414
Muncie,40.1989,-85.3950,87879
Citrus Heights,38.6948,-121.2880,87796
State College,40.7909,-77.8568,87723
Town 'n' Country,28.0108,-82.5760,87338
Decatur,39.8556,-88.9337,87236
Jackson,42.2431,-84.4037,87110
Fort Myers,26.6195,-81.8303,87103
Goodyear,33.2613,-112.3622,86840
Dalton,34.7690,-84.9712,86628
Bryan,30.6657,-96.3668,86276
Waukegan,42.3697,-87.8716,86075
Hawthorne,33.9146,-118.3476,86068
Anderson,40.0891,-85.6893,85992
Redwood City,37.5026,-122.2252,85925
Hoover,33.3754,-86.8064,85768
Lake Forest,33.6606,-117.6712,85531
Napa,38.2976,-122.3011,85239
Whittier,33.9678,-118.0188,85098
Clifton,40.8631,-74.1575,85052
Largo,27.9088,-82.7711,84948
Bloomington,44.8306,-93.3151,84943
Johns Creek,34.0333,-84.2027,84579
Newport Beach,33.6151,-117.8669,84534
Mission,26.2041,-98.3251,84331
Milpitas,37.4339,-121.8921,84196
Troy,42.5818,-83.1457,84092
Madera,36.9631,-120.0782,84086
Joplin,37.0758,-94.5018,84048
Chino Hills,33.9508,-117.7253,83853
Alhambra,34.0840,-118.1355,83750
Franklin,35.9216,-86.8525,83097
Melbourne,28.1085,-80.6627,83029
Port Huron,42.9822,-82.4387,82970
Springfield,39.9297,-83.7957,82820
Mountain View,37.4000,-122.0796,82739
Zephyrhills,28.2408,-82.1796,82476
St. Augustine,29.8977,-81.3100,82180
Flagstaff,35.1872,-111.6195,81974
Buena Park,33.8572,-118.0046,81788
Pleasanton,37.6663,-121.8805,81777
Silver Spring,39.0028,-77.0207,81773
Atascocita,29.9777,-95.1953,81557
Westland,42.3192,-83.3805,81511
Auburn,47.3039,-122.2108,81464
Cranston,41.7658,-71.4857,81456
Somerville,42.3908,-71.1013,81360
Folsom,38.6668,-121.1422,81328
Springdale,36.1899,-94.1574,81125
Deerfield Beach,26.3050,-80.1277,81066
Warwick,41.7062,-71.4334,81004
Cicero,41.8445,-87.7593,80796
Farmington Hills,42.4860,-83.3771,80612
Newark,40.0705,-82.4251,80451
Williamsburg,37.2692,-76.7076,80441
Brooklyn Park,45.1112,-93.3505,80389
Hattiesburg,31.3074,-89.3170,80138
Alexandria,31.2923,-92.4702,80129
Lawrence,42.7003,-71.1626,80028
Florence,34.8303,-87.6654,79964
Valdosta,30.8502,-83.2788,79820
Plymouth,45.0225,-93.4618,79768
Buckeye,33.4314,-112.6429,79620
Georgetown,30.6668,-97.6953,79604
Cheyenne,41.1351,-104.7900,79484
Cedar Park,30.5106,-97.8196,79462
The Villages,28.9021,-81.9888,79372
Kokomo,40.4640,-86.1277,79351
Tustin,33.7309,-117.8106,79348
Lakewood,33.8471,-118.1221,79307
Perris,33.7899,-117.2233,79291
St. Joseph,39.7599,-94.8210,79161
Flower Mound,33.0344,-97.1146,79135
Pharr,26.1685,-98.1904,79112
Pine Hills,28.5818,-81.4693,78995
Alton,38.9034,-90.1523,78905
Loveland,40.4166,-105.0623,78877
Boynton Beach,26.5281,-80.0811,78679
New Rochelle,40.9305,-73.7836,78557
Anderson,34.5211,-82.6479,78512
Jonesboro,35.8212,-90.6791,78394
Lebanon,40.3412,-76.4227,78302
Parma,41.3843,-81.7286,78103
Layton,41.0769,-111.9621,78014
Elizabethtown,37.7030,-85.8770,78002
Texarkana,33.4487,-94.0815,77964
Alameda,37.7670,-122.2672,77624
Kankakee,41.1019,-87.8643,77429
Watsonville,36.9206,-121.7706,77352
Porterville,36.0644,-119.0338,77318
Baytown,29.7586,-94.9669,77192
Upland,34.1178,-117.6603,77140
Davis,38.5552,-121.7365,76997
Camarillo,34.2230,-119.0322,76931
South Jordan,40.5570,-111.9782,76598
Battle Creek,42.2986,-85.2296,76514
Bellflower,33.8880,-118.1271,76435
San Marcos,29.8736,-97.9381,76218
San Ramon,37.7625,-121.9365,75995
Lake Jackson,29.0516,-95.4522,75860
Bethlehem,40.6266,-75.3679,75815
Wyoming,42.8909,-85.7066,75667
Oshkosh,44.0228,-88.5619,75536
Hammond,41.6169,-87.4910,75522
Waldorf,38.6085,-76.9195,75489
Missouri City,29.5630,-95.5365,75457
Pasco,46.2506,-119.1304,75432
Wheeling,40.0752,-80.6951,75392
Kendall,25.6697,-80.3556,75312
Baldwin Park,34.0829,-117.9721,75251
Rancho Cordova,38.5740,-121.2523,75087
Conway,35.0754,-92.4694,74951
Gary,41.5906,-87.3472,74879
Altoona,40.5082,-78.4007,74829
Lodi,38.1218,-121.2932,74773
Arlington Heights,42.0955,-87.9825,74760
Bolingbrook,41.6903,-88.1019,74545
Rochester Hills,42.6645,-83.1563,74516
Winchester,39.1735,-78.1746,74417
Framingham,42.3085,-71.4368,74416
Hilton Head Island,32.1896,-80.7499,74139
Centreville,38.8391,-77.4388,74125
Union City,37.6030,-122.0187,74107
Owensboro,37.7574,-87.1173,74068
Jackson,35.6535,-88.8353,74065
Cleveland,35.1817,-84.8707,73596
Wausau,44.9620,-89.6459,73593
Camden,39.9362,-75.1073,73562
Anniston,33.6712,-85.8136,73501
Evanston,42.0463,-87.6942,73473
Apple Valley,34.5328,-117.2104,73453
Mansfield,40.7656,-82.5275,73326
Caguas,18.2319,-66.0388,73322
Schaumburg,42.0307,-88.0838,72887
Pocatello,42.8724,-112.4646,72878
Woodbury,44.9056,-92.9230,72828
Southfield,42.4765,-83.2605,72689
Ellicott City,39.2773,-76.8344,72665
Dale City,38.6473,-77.3459,72627
Maple Grove,45.1089,-93.4626,72622
Pittsburg,38.0182,-121.8964,72588
New Britain,41.6758,-72.7862,72495
Morgantown,39.6380,-79.9468,72458
Mansfield,32.5690,-97.1211,72419
Hammond,30.5061,-90.4563,72413
Dothan,31.2335,-85.4069,72396
Harrisonburg,38.4361,-78.8735,72386
Wenatchee,47.4356,-120.3283,72350
Waukesha,43.0087,-88.2464,72299
Pawtucket,41.8744,-71.3743,72117
Redmond,47.6762,-122.1169,71929
Lauderhill,26.1605,-80.2242,71868
Sumter,33.9392,-80.3930,71518
Redlands,34.0511,-117.1712,71513
Daphne,30.6286,-87.8866,71484
Mount Vernon,48.4202,-122.3115,71422
Weston,26.1006,-80.4054,71166
St. Charles,38.7954,-90.5157,71028
Janesville,42.6855,-89.0136,70755
Sherman,33.6274,-96.6218,70704
North Richland Hills,32.8605,-97.2180,70670
Broomfield,39.9541,-105.0527,70465
El Paso de Robles,35.6394,-120.6560,70248
Bristol,36.5572,-82.2154,70243
Wilmington,39.7415,-75.5413,70166
Casas Adobes,32.3423,-111.0114,70166
Walnut Creek,37.9024,-122.0398,70166
Poinciana,28.1217,-81.4820,69955
Lynwood,33.9240,-118.2017,69887
Glen Burnie,39.1559,-76.6072,69872
Lehi,40.4136,-111.8726,69724
Passaic,40.8574,-74.1282,69703
Homestead,25.4665,-80.4472,69523
West Bend,43.4184,-88.1824,69504
Delray Beach,26.4550,-80.0905,69451
Sheboygan,43.7403,-87.7316,69393
Lake Elsinore,33.6847,-117.3344,69283
